time,open,high,low,close
-1464922800,0.65,0.65,0.65,0.65
-1462071600,0.65,0.65,0.65,0.65
-1459648800,0.65,0.65,0.65,0.65
-1456970400,0.65,0.65,0.65,0.65
-1454205600,0.65,0.65,0.65,0.65
-1451700000,0.67,0.67,0.67,0.67
-1449021600,0.67,0.67,0.67,0.67
-1446343200,0.67,0.67,0.67,0.67
-1443837600,0.67,0.67,0.67,0.67
-1441249200,0.67,0.67,0.67,0.67
-1438484400,0.67,0.67,0.67,0.67
-1435978800,0.67,0.67,0.67,0.67
-1433300400,0.67,0.67,0.67,0.67
-1430622000,0.67,0.67,0.67,0.67
-1428026400,0.67,0.67,0.67,0.67
-1425175200,0.67,0.67,0.67,0.67
-1422756000,0.67,0.67,0.67,0.67
-1420077600,0.69,0.69,0.69,0.69
-1417312800,0.69,0.69,0.69,0.69
-1414893600,0.69,0.69,0.69,0.69
-1412301600,0.69,0.69,0.69,0.69
-1409713200,0.69,0.69,0.69,0.69
-1407034800,0.69,0.69,0.69,0.69
-1404442800,0.69,0.69,0.69,0.69
-1401591600,0.69,0.69,0.69,0.69
-1399086000,0.69,0.69,0.69,0.69
-1396490400,0.69,0.69,0.69,0.69
-1393725600,0.69,0.69,0.69,0.69
-1391220000,0.69,0.69,0.69,0.69
-1388541600,0.62,0.62,0.62,0.62
-1385863200,0.62,0.62,0.62,0.62
-1383444000,0.62,0.62,0.62,0.62
-1380765600,0.62,0.62,0.62,0.62
-1378004400,0.62,0.62,0.62,0.62
-1375498800,0.62,0.62,0.62,0.62
-1372906800,0.62,0.62,0.62,0.62
-1370142000,0.62,0.62,0.62,0.62
-1367550000,0.62,0.62,0.62,0.62
-1364954400,0.62,0.62,0.62,0.62
-1362276000,0.62,0.62,0.62,0.62
-1359684000,0.62,0.62,0.62,0.62
-1356832800,0.57,0.57,0.57,0.57
-1354327200,0.57,0.57,0.57,0.57
-1351908000,0.57,0.57,0.57,0.57
-1349229600,0.57,0.57,0.57,0.57
-1346554800,0.57,0.57,0.57,0.57
-1343962800,0.57,0.57,0.57,0.57
-1341370800,0.57,0.57,0.57,0.57
-1338692400,0.57,0.57,0.57,0.57
-1336014000,0.57,0.57,0.57,0.57
-1333245600,0.57,0.57,0.57,0.57
-1330740000,0.57,0.57,0.57,0.57
-1328148000,0.57,0.57,0.57,0.57
-1325383200,0.58,0.58,0.58,0.58
-1322791200,0.58,0.58,0.58,0.58
-1320285600,0.58,0.58,0.58,0.58
-1317520800,0.58,0.58,0.58,0.58
-1315018800,0.58,0.58,0.58,0.58
-1312340400,0.58,0.58,0.58,0.58
-1309662000,0.58,0.58,0.58,0.58
-1307070000,0.58,0.58,0.58,0.58
-1304218800,0.58,0.58,0.58,0.58
-1301796000,0.58,0.58,0.58,0.58
-1299117600,0.58,0.58,0.58,0.58
-1296352800,0.58,0.58,0.58,0.58
-1293847200,0.53,0.53,0.53,0.53
-1291168800,0.53,0.53,0.53,0.53
-1288749600,0.53,0.53,0.53,0.53
-1286071200,0.53,0.53,0.53,0.53
-1283482800,0.53,0.53,0.53,0.53
-1280631600,0.53,0.53,0.53,0.53
-1278212400,0.53,0.53,0.53,0.53
-1275534000,0.53,0.53,0.53,0.53
-1272769200,0.53,0.53,0.53,0.53
-1270260000,0.53,0.53,0.53,0.53
-1267581600,0.53,0.53,0.53,0.53
-1264903200,0.53,0.53,0.53,0.53
-1262311200,0.38,0.38,0.38,0.38
-1259460000,0.38,0.38,0.38,0.38
-1257040800,0.38,0.38,0.38,0.38
-1254535200,0.38,0.38,0.38,0.38
-1251946800,0.38,0.38,0.38,0.38
-1249182000,0.38,0.38,0.38,0.38
-1246676400,0.38,0.38,0.38,0.38
-1243998000,0.38,0.38,0.38,0.38
-1241319600,0.38,0.38,0.38,0.38
